name, hair, feathers, eggs, milk, airborne, aquatic, predator, toothed, backbone, breathes, venomous, fins, legs, tail, domestic, catsize, type
aardvark,true,false,false,true,false,false,true,true,true,true,false,false,4,false,false,true,true
antelope,true,false,false,true,false,false,false,true,true,true,false,false,4,true,false,true,true
bass,false,false,true,false,false,true,true,true,true,false,false,true,false,true,false,false,4
bear,true,false,false,true,false,false,true,true,true,true,false,false,4,false,false,true,true
boar,true,false,false,true,false,false,true,true,true,true,false,false,4,true,false,true,true
buffalo,true,false,false,true,false,false,false,true,true,true,false,false,4,true,false,true,true
calf,true,false,false,true,false,false,false,true,true,true,false,false,4,true,true,true,true
carp,false,false,true,false,false,true,false,true,true,false,false,true,false,true,true,false,4
catfish,false,false,true,false,false,true,true,true,true,false,false,true,false,true,false,false,4
cavy,true,false,false,true,false,false,false,true,true,true,false,false,4,false,true,false,true
cheetah,true,false,false,true,false,false,true,true,true,true,false,false,4,true,false,true,true
chicken,false,true,true,false,true,false,false,false,true,true,false,false,2,true,true,false,2
chub,false,false,true,false,false,true,true,true,true,false,false,true,false,true,false,false,4
clam,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,7
crab,false,false,true,false,false,true,true,false,false,false,false,false,4,false,false,false,7
crayfish,false,false,true,false,false,true,true,false,false,false,false,false,6,false,false,false,7
crow,false,true,true,false,true,false,true,false,true,true,false,false,2,true,false,false,2
deer,true,false,false,true,false,false,false,true,true,true,false,false,4,true,false,true,true
dogfish,false,false,true,false,false,true,true,true,true,false,false,true,false,true,false,true,4
dolphin,false,false,false,true,false,true,true,true,true,true,false,true,false,true,false,true,true
dove,false,true,true,false,true,false,false,false,true,true,false,false,2,true,true,false,2
duck,false,true,true,false,true,true,false,false,true,true,false,false,2,true,false,false,2
elephant,true,false,false,true,false,false,false,true,true,true,false,false,4,true,false,true,true
flamingo,false,true,true,false,true,false,false,false,true,true,false,false,2,true,false,true,2
flea,false,false,true,false,false,false,false,false,false,true,false,false,6,false,false,false,6
frog,false,false,true,false,false,true,true,true,true,true,false,false,4,false,false,false,5
frog,false,false,true,false,false,true,true,true,true,true,true,false,4,false,false,false,5
fruitbat,true,false,false,true,true,false,false,true,true,true,false,false,2,true,false,false,true
giraffe,true,false,false,true,false,false,false,true,true,true,false,false,4,true,false,true,true
girl,true,false,false,true,false,false,true,true,true,true,false,false,2,false,true,true,true
gnat,false,false,true,false,true,false,false,false,false,true,false,false,6,false,false,false,6
goat,true,false,false,true,false,false,false,true,true,true,false,false,4,true,true,true,true
gorilla,true,false,false,true,false,false,false,true,true,true,false,false,2,false,false,true,true
gull,false,true,true,false,true,true,true,false,true,true,false,false,2,true,false,false,2
haddock,false,false,true,false,false,true,false,true,true,false,false,true,false,true,false,false,4
hamster,true,false,false,true,false,false,false,true,true,true,false,false,4,true,true,false,true
hare,true,false,false,true,false,false,false,true,true,true,false,false,4,true,false,false,true
hawk,false,true,true,false,true,false,true,false,true,true,false,false,2,true,false,false,2
herring,false,false,true,false,false,true,true,true,true,false,false,true,false,true,false,false,4
honeybee,true,false,true,false,true,false,false,false,false,true,true,false,6,false,true,false,6
housefly,true,false,true,false,true,false,false,false,false,true,false,false,6,false,false,false,6
kiwi,false,true,true,false,false,false,true,false,true,true,false,false,2,true,false,false,2
ladybird,false,false,true,false,true,false,true,false,false,true,false,false,6,false,false,false,6
lark,false,true,true,false,true,false,false,false,true,true,false,false,2,true,false,false,2
leopard,true,false,false,true,false,false,true,true,true,true,false,false,4,true,false,true,true
lion,true,false,false,true,false,false,true,true,true,true,false,false,4,true,false,true,true
lobster,false,false,true,false,false,true,true,false,false,false,false,false,6,false,false,false,7
lynx,true,false,false,true,false,false,true,true,true,true,false,false,4,true,false,true,true
mink,true,false,false,true,false,true,true,true,true,true,false,false,4,true,false,true,true
mole,true,false,false,true,false,false,true,true,true,true,false,false,4,true,false,false,true
mongoose,true,false,false,true,false,false,true,true,true,true,false,false,4,true,false,true,true
moth,true,false,true,false,true,false,false,false,false,true,false,false,6,false,false,false,6
newt,false,false,true,false,false,true,true,true,true,true,false,false,4,true,false,false,5
octopus,false,false,true,false,false,true,true,false,false,false,false,false,8,false,false,true,7
opossum,true,false,false,true,false,false,true,true,true,true,false,false,4,true,false,false,true
oryx,true,false,false,true,false,false,false,true,true,true,false,false,4,true,false,true,true
ostrich,false,true,true,false,false,false,false,false,true,true,false,false,2,true,false,true,2
parakeet,false,true,true,false,true,false,false,false,true,true,false,false,2,true,true,false,2
penguin,false,true,true,false,false,true,true,false,true,true,false,false,2,true,false,true,2
pheasant,false,true,true,false,true,false,false,false,true,true,false,false,2,true,false,false,2
pike,false,false,true,false,false,true,true,true,true,false,false,true,false,true,false,true,4
piranha,false,false,true,false,false,true,true,true,true,false,false,true,false,true,false,false,4
pitviper,false,false,true,false,false,false,true,true,true,true,true,false,false,true,false,false,3
platypus,true,false,true,true,false,true,true,false,true,true,false,false,4,true,false,true,true
polecat,true,false,false,true,false,false,true,true,true,true,false,false,4,true,false,true,true
pony,true,false,false,true,false,false,false,true,true,true,false,false,4,true,true,true,true
porpoise,false,false,false,true,false,true,true,true,true,true,false,true,false,true,false,true,true
puma,true,false,false,true,false,false,true,true,true,true,false,false,4,true,false,true,true
pussycat,true,false,false,true,false,false,true,true,true,true,false,false,4,true,true,true,true
raccoon,true,false,false,true,false,false,true,true,true,true,false,false,4,true,false,true,true
reindeer,true,false,false,true,false,false,false,true,true,true,false,false,4,true,true,true,true
